"# ------------------------------------"
"Report: Metrics over time"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
date_id,count_plays,sum_time_viewed,unique_known_users,avg_view_drop_off,avg_completion_rate,count_loads
20190109,964,17830.683333333,2,0.46109958506224,0,1722
20190108,993,15265.05,1,0.44008056394763,0,1840
20190107,1133,19970.45,1,0.4472639011474,0,1927
20190106,993,16601.8,1,0.43202416918429,0,1896
20190105,836,13094.6,1,0.43211722488038,0,1526
20190104,368,6283.4166666667,1,0.453125,0,600
20190103,346,5984.5833333333,2,0.45736994219653,0,606
20190102,304,6898.4333333333,1,0.49095394736842,0,602
20190101,308,9391.8333333333,1,0.57792207792208,0,501
20181231,112,2942.5333333333,1,0.61607142857143,0,204
20181230,290,7131.65,1,0.48706896551724,0,515
20181229,326,6732.6166666667,1,0.53680981595092,0,621
20181228,285,5443.8,1,0.46052631578947,0,487
20181227,243,6035.7333333333,2,0.55555555555556,0,466
20181226,312,6858.35,2,0.45833333333333,0,547
20181225,375,8713.1666666667,1,0.482,0,629
20181224,206,4911.25,1,0.51092233009709,0,317
20181223,277,6999.1,1,0.49187725631769,0,502
20181222,253,6243.7833333333,1,0.44565217391304,0,450
20181221,299,6545.5833333333,1,0.47157190635452,0,539
20181220,301,7658.8666666667,1,0.46013289036545,0,527
20181219,412,6955.5833333333,1,0.36104368932039,0,631
20181218,317,6626.3833333333,2,0.49447949526814,0,608
20181217,347,8058.9333333333,1,0.4963976945245,0,606
20181216,437,9716.8,1,0.48169336384439,0,773
20181215,335,8172.3333333333,1,0.5,0,647
20181214,344,9557.3833333333,1,0.48691860465116,0,642
20181213,360,8606.8166666667,1,0.50833333333333,0,715
20181212,405,10160.416666667,2,0.51543209876543,0,735
20181211,436,9816.0166666667,2,0.46158256880734,0,778
20181210,528,16145.333333333,2,0.53693181818182,0,934
20181209,764,22724.55,1,0.46891361256545,0,1301
20181208,490,13958.5,1,0.42704081632653,0,982
20181207,338,8993.7166666667,1,0.42233727810651,0,685
20181206,305,7007.3,2,0.49508196721311,0,546
20181205,354,8593.5666666667,1,0.50494350282486,0,643
20181204,376,8648.3666666667,1,0.50199468085106,0,710
20181203,469,11201.733333333,1,0.4818763326226,0,861
20181202,818,27213.133333333,1,0.51925427872861,0,1485
20181201,1547,49681.683333333,1,0.46153846153846,0,2414
20181130,452,12608.666666667,1,0.48893805309735,0,866
20181129,480,12346.533333333,1,0.5234375,0,824
20181128,406,11193.966666667,3,0.52524630541872,0,748
20181127,394,9659.7666666667,1,0.49873096446701,0,664
20181126,468,10829.95,1,0.46153846153846,0,770
20181125,453,10935.95,1,0.49889624724062,0,742
20181124,506,12594.766666667,1,0.51383399209486,0,863
20181123,343,7802.6666666667,1,0.49781341107872,0,619
20181122,257,6615.5666666667,2,0.52626459143969,0,496
20181121,285,6869.5833333333,1,0.48859649122807,0,492
20181120,308,8015.1666666667,1,0.48944805194805,0,598
20181119,336,9528.2333333333,1,0.53943452380952,0,636
